nba_id,position,first,last,height,weight,draft_year,pos1,pos2,wingspan,standing_reach
101187,Forward-Guard,Alan,Anderson,78.0,220.0,,F,G,81.5,104.0
202711,Forward,Bojan,Bogdanovic,79.0,226.0,2011.0,F,,82.76,
203900,Guard,Markel,Brown,75.0,190.0,2014.0,G,,80.75,100.0
201152,Forward,Thaddeus,Young,80.0,225.0,2007.0,F,,83.5,106.0
101114,Guard,Deron,Williams,75.0,200.0,2005.0,G,,78.25,98.0
101127,Guard,Jarrett,Jack,75.0,200.0,2005.0,G,,79.5,100.0
203486,Forward-Center,Mason,Plumlee,82.0,254.0,2013.0,F,C,83.0,108.0
202721,Guard,Darius,Morris,76.0,195.0,2011.0,G,,79.5,102.0
201961,Guard,Wayne,Ellington,76.0,207.0,2009.0,G,,78.5,100.0
202391,Guard,Jeremy,Lin,75.0,200.0,,G,,78.66,
201941,Forward-Center,Jordan,Hill,82.0,240.0,2009.0,F,C,85.5,108.0
2584,Guard,Willie,Green,75.0,205.0,2003.0,G,,79.25,100.0
203935,Guard,Marcus,Smart,75.0,220.0,2014.0,G,,81.25,99.0
203923,,James,Young,78.0,215.0,2014.0,,,84.0,104.0
201973,Forward,Jonas,Jerebko,82.0,231.0,2009.0,F,,85.83,
203109,Forward,Jae,Crowder,78.0,235.0,2012.0,F,,81.25,99.5
202738,Guard,Isaiah,Thomas,69.0,185.0,2011.0,G,,73.75,91.5
201166,Guard,Aaron,Brooks,72.0,161.0,2007.0,G,,76.0,94.0
2550,Guard,Kirk,Hinrich,76.0,190.0,2003.0,G,,78.0,98.5
201959,Forward,Taj,Gibson,81.0,232.0,2009.0,F,,88.0,109.0
202710,Forward,Jimmy,Butler,79.0,230.0,2011.0,F,,79.5,101.5
201149,Forward-Center,Joakim,Noah,83.0,232.0,2007.0,F,C,85.25,106.5
2734,Guard,Devin,Harris,75.0,185.0,2004.0,G,,79.5,98.5
200826,Guard,J.J.,Barea,70.0,180.0,,G,,73.54,
201571,Guard,D.J.,Augustin,71.0,183.0,2008.0,G,,75.5,94.5
203083,Center,Andre,Drummond,83.0,279.0,2012.0,C,,90.25,109.5
101249,,John,Lucas III,71.0,166.0,,,,72.0,92.0
203915,Guard,Spencer,Dinwiddie,77.0,215.0,2014.0,G,,80.25,103.0
101139,,CJ,Miles,78.0,220.0,2005.0,,,75.5,94.0
201588,Guard,George,Hill,76.0,188.0,2008.0,G,,81.0,97.5
201228,Guard,C.J.,Watson,74.0,175.0,,G,,77.64,
203963,Forward-Center,Shayne,Whittington,83.0,250.0,,F,C,86.85,
2561,Forward,David,West,81.0,250.0,2003.0,F,,88.25,108.3
203524,,Solomon,Hill,78.0,226.0,2013.0,,,81.0,103.0
204025,,Tim,Frazier,72.0,170.0,,,,75.59,
203457,,Nerlens,Noel,82.0,220.0,2013.0,,,87.75,110.0
203924,Forward,Jerami,Grant,79.0,210.0,2014.0,F,,86.75,107.0
203960,Forward,JaKarr,Sampson,79.0,214.0,,F,,82.76,
201601,Forward,Luc,Mbah a Moute,80.0,230.0,2008.0,F,,86.5,103.5
202322,,John,Wall,75.0,210.0,2010.0,,,81.25,101.5
101162,,Marcin,Gortat,83.0,240.0,2005.0,,,87.5,110.0
202066,Guard-Forward,Garrett,Temple,77.0,195.0,,G,F,80.71,
1718,Forward,Paul,Pierce,79.0,235.0,1998.0,F,,82.76,
2743,Forward,Kris,Humphries,81.0,235.0,2004.0,F,,84.5,106.5
2446,,Rasual,Butler,79.0,215.0,2002.0,,,84.0,105.5
203490,Forward,Otto,Porter Jr.,80.0,230.0,2013.0,F,,85.5,105.5
2403,Center-Forward,,Nene,83.0,250.0,2002.0,C,F,88.5,109.0
201568,Forward,Danilo,Gallinari,82.0,236.0,2008.0,F,,85.83,
203994,Center,Jusuf,Nurkic,84.0,290.0,2014.0,C,,87.88,
201951,Guard,Ty,Lawson,71.0,195.0,2009.0,G,,72.75,94.5
201581,Center-Forward,JJ,Hickson,81.0,242.0,2008.0,C,F,84.81,
2225,Guard,Tony,Parker,74.0,185.0,2001.0,G,,77.64,
201988,Guard,Patty,Mills,74.0,180.0,2009.0,G,,74.0,95.0
1495,Center-Forward,Tim,Duncan,83.0,250.0,1997.0,C,F,86.85,
1938,Guard,Manu,Ginobili,78.0,205.0,1999.0,G,,81.73,
204038,,Langston,Galloway,73.0,200.0,,,,76.62,
200811,Forward,Lou,Amundson,81.0,220.0,,F,,83.5,103.5
201160,,Jason,Smith,84.0,240.0,2007.0,,,82.75,106.0
202681,Guard,Kyrie,Irving,74.0,195.0,2011.0,G,,76.0,99.0
202684,Center-Forward,Tristan,Thompson,81.0,254.0,2011.0,C,F,85.25,108.5
2034,Guard-Forward,Mike,Miller,80.0,218.0,2000.0,G,F,80.5,103.0
203516,,James,Ennis III,78.0,215.0,2013.0,,,83.5,104.5
2617,Forward,Udonis,Haslem,79.0,235.0,,F,,83.0,107.0
2590,Guard,Mo,Williams,73.0,198.0,2003.0,G,,77.5,98.5
203897,Guard,Zach,LaVine,77.0,200.0,2014.0,G,,80.25,100.0
203584,Guard,Troy,Daniels,76.0,200.0,,G,,79.69,
201579,Center,Roy,Hibbert,86.0,270.0,2008.0,C,,89.93,
101133,Center,Ian,Mahinmi,83.0,262.0,2005.0,C,,86.85,
202388,Guard,Donald,Sloan,75.0,205.0,,G,,78.66,
204014,Forward,Damjan,Rudez,82.0,228.0,,F,,85.83,
202709,Guard,Cory,Joseph,74.0,200.0,2011.0,G,,77.5,99.0
2564,Center-Forward,Boris,Diaw,80.0,250.0,2003.0,C,F,83.78,
203501,Guard-Forward,Tim,Hardaway Jr.,77.0,205.0,2013.0,G,F,79.0,101.0
203499,Guard,Shane,Larkin,71.0,175.0,2013.0,G,,70.75,89.5
101181,Guard,Jose,Calderon,75.0,200.0,,G,,78.66,
202332,Center,Cole,Aldrich,83.0,253.0,2010.0,C,,88.75,111.5
204037,Forward,Travis,Wear,82.0,225.0,,F,,85.83,
101150,Guard,Lou,Williams,74.0,175.0,2005.0,G,,78.25,98.0
202349,,Greivis,Vasquez,78.0,217.0,2010.0,,,79.0,101.0
202685,Center,Jonas,Valanciunas,83.0,265.0,2011.0,C,,86.85,
203082,Guard-Forward,Terrence,Ross,79.0,206.0,2012.0,G,F,79.25,100.5
202690,Guard,Jimmer,Fredette,74.0,195.0,2011.0,G,,76.5,96.5
201950,Guard,Jrue,Holiday,76.0,205.0,2009.0,G,,79.0,100.5
203482,Forward-Center,Kelly,Olynyk,83.0,240.0,2013.0,F,C,81.75,108.0
203515,,Phil,Pressey,71.0,175.0,,,,74.25,92.0
2557,Guard,Luke,Ridnour,74.0,175.0,2003.0,G,,75.0,95.5
203506,Guard,Victor,Oladipo,75.0,213.0,2013.0,G,,81.25,100.5
202696,Center,Nikola,Vucevic,82.0,260.0,2011.0,C,,88.5,112.5
203521,Guard,Matthew,Dellavedova,75.0,200.0,,G,,78.66,
201147,Guard-Forward,Corey,Brewer,81.0,188.0,2007.0,G,F,80.25,103.0
1891,Guard,Jason,Terry,74.0,185.0,1999.0,G,,77.64,
2746,,Josh,Smith,81.0,225.0,2004.0,,,84.0,106.5
203477,,Isaiah,Canaan,72.0,200.0,2013.0,,,76.5,94.5
203088,Guard,Kendall,Marshall,76.0,200.0,2012.0,G,,77.5,96.0
203114,Forward,Khris,Middleton,79.0,222.0,2012.0,F,,82.75,103.0
201162,Forward,Jared,Dudley,78.0,237.0,2007.0,F,,79.0,102.0
201564,Guard,O.J.,Mayo,77.0,210.0,2008.0,G,,78.0,99.5
203901,Guard,Elfrid,Payton,75.0,195.0,2014.0,G,,80.0,98.5
101112,Forward-Center,Channing,Frye,84.0,255.0,2005.0,F,C,86.5,110.5
2555,Forward-Center,Nick,Collison,82.0,255.0,2003.0,F,C,85.5,108.0
2570,Center,Kendrick,Perkins,82.0,270.0,2003.0,C,,85.83,
203087,Guard-Forward,Jeremy,Lamb,77.0,180.0,2012.0,G,F,83.0,102.0
202704,Guard,Reggie,Jackson,74.0,208.0,2011.0,G,,86.0,106.5
202397,Guard,Ish,Smith,72.0,175.0,,G,,75.59,
202702,Forward-Center,Kenneth,Faried,80.0,220.0,2011.0,F,C,84.0,108.0
101126,,Nate,Robinson,69.0,180.0,2005.0,,,73.0,91.5
203914,Guard,Gary,Harris,76.0,210.0,2014.0,G,,78.75,96.0
203957,Guard,Dante,Exum,77.0,214.0,2014.0,G,,81.5,103.0
203504,Guard,Trey,Burke,72.0,185.0,2013.0,G,,77.5,97.5
203100,Guard,Tony,Wroten,78.0,205.0,2012.0,G,,81.0,101.0
203487,Guard,Michael,Carter-Williams,77.0,190.0,2013.0,G,,79.25,101.0
202339,Guard,Eric,Bledsoe,73.0,214.0,2010.0,G,,79.5,98.0
1890,Guard-Forward,Shawn,Marion,79.0,228.0,1999.0,G,F,82.76,
2760,,Anderson,Varejao,83.0,260.0,2004.0,,,86.85,
2544,Forward,LeBron,James,81.0,250.0,2003.0,F,,84.25,106.3
2207,,Joe,Johnson,79.0,240.0,2001.0,,,81.0,105.0
203561,,Brandon,Davies,82.0,240.0,,,,85.5,108.5
2757,Guard,Beno,Udrih,75.0,205.0,2004.0,G,,76.5,98.0
202323,Guard-Forward,Evan,Turner,78.0,220.0,2010.0,G,F,80.0,103.5
2200,Center-Forward,Pau,Gasol,84.0,250.0,2001.0,C,F,87.88,
202703,Forward,Nikola,Mirotic,82.0,250.0,2011.0,F,,88.5,112.5
203145,Guard-Forward,Kent,Bazemore,76.0,195.0,,G,F,79.69,
201143,Center-Forward,Al,Horford,81.0,240.0,2007.0,C,F,84.75,107.0
201960,Forward,DeMarre,Carroll,78.0,215.0,2009.0,F,,82.0,105.0
201952,Guard,Jeff,Teague,75.0,195.0,2009.0,G,,79.5,98.5
201939,Guard,Stephen,Curry,74.0,185.0,2009.0,G,,75.5,97.0
203084,Forward,Harrison,Barnes,80.0,225.0,2012.0,F,,83.25,101.5
201575,Guard-Forward,Brandon,Rush,78.0,225.0,2008.0,G,F,83.25,104.5
202691,Guard,Klay,Thompson,78.0,220.0,2011.0,G,,81.0,103.5
201578,Forward-Center,Marreese,Speights,82.0,255.0,2008.0,F,C,85.83,
2733,Guard,Shaun,Livingston,79.0,192.0,2004.0,G,,83.0,105.5
2738,Guard-Forward,Andre,Iguodala,78.0,215.0,2004.0,G,F,83.0,105.5
203110,Forward,Draymond,Green,78.0,230.0,2012.0,F,,85.25,105.0
2581,Guard,Steve,Blake,75.0,172.0,2003.0,G,,78.66,
203459,,Allen,Crabbe,77.0,212.0,2013.0,,,83.25,103.5
2549,Center,Chris,Kaman,84.0,265.0,2003.0,C,,83.75,110.5
201587,Guard-Forward,Nicolas,Batum,80.0,230.0,2008.0,G,F,83.78,
200746,Center-Forward,LaMarcus,Aldridge,83.0,250.0,2006.0,C,F,88.75,110.0
203081,Guard,Damian,Lillard,74.0,195.0,2012.0,G,,79.75,95.5
200777,Center-Forward,Joel,Freeland,82.0,225.0,2006.0,C,F,85.83,
202083,Guard,Wesley,Matthews,77.0,220.0,,G,,80.71,
2037,Guard,Jamal,Crawford,77.0,200.0,2000.0,G,,82.0,102.5
201175,Forward-Center,Glen,Davis,81.0,289.0,2007.0,F,C,84.81,
200770,,Jordan,Farmar,74.0,180.0,2006.0,,,75.0,94.5
200755,Guard,JJ,Redick,75.0,200.0,2006.0,G,,75.25,97.5
101108,Guard,Chris,Paul,72.0,175.0,2005.0,G,,76.25,93.0
201933,Forward,Blake,Griffin,81.0,250.0,2009.0,F,,83.25,105.0
203894,Guard,Shabazz,Napier,72.0,175.0,2014.0,G,,75.25,93.0
202699,Forward,Tobias,Harris,80.0,226.0,2011.0,F,,83.0,103.5
201155,,Rodney,Stuckey,77.0,205.0,2007.0,,,79.25,100.5
202730,Forward-Center,Lavoy,Allen,81.0,260.0,2011.0,F,C,84.81,
202962,Center,Greg,Smith,82.0,250.0,,C,,85.83,
101111,Forward,Charlie,Villanueva,83.0,232.0,2005.0,F,,84.25,109.0
2571,Guard,Leandro,Barbosa,75.0,194.0,2003.0,G,,78.66,
203136,Center,Ognjen,Kuzmic,84.0,260.0,2012.0,C,,87.88,
200782,Forward,P.J.,Tucker,77.0,245.0,2006.0,F,,78.5,99.5
203458,Center,Alex,Len,84.0,250.0,2013.0,C,,87.5,
202334,Center-Forward,Ed,Davis,81.0,218.0,2010.0,C,F,84.0,108.0
202333,,Xavier,Henry,78.0,220.0,2010.0,,,83.25,105.0
101179,Guard,Ronnie,Price,74.0,190.0,,G,,77.5,96.5
203118,Forward,Mike,Scott,79.0,237.0,2012.0,F,,82.75,104.0
203471,Guard,Dennis,Schroder,73.0,175.0,2013.0,G,,79.75,98.0
201583,,Ryan,Anderson,81.0,240.0,2008.0,,,84.81,
203085,Guard,Austin,Rivers,76.0,200.0,2012.0,G,,79.25,96.5
201600,Center,Omer,Asik,84.0,255.0,2008.0,C,,87.88,
203143,Guard,Pablo,Prigioni,75.0,185.0,,G,,78.66,
202347,Forward,Quincy,Pondexter,79.0,230.0,2010.0,F,,82.76,
201573,Guard,Jerryd,Bayless,75.0,200.0,2008.0,G,,75.5,97.0
203473,Center,Dewayne,Dedmon,82.0,245.0,,C,,88.0,109.0
203090,Forward-Guard,Maurice,Harkless,79.0,220.0,2012.0,F,G,84.0,102.5
203094,Forward,Andrew,Nicholson,81.0,250.0,2012.0,F,,88.0,107.0
201567,Forward-Center,Kevin,Love,80.0,251.0,2008.0,F,C,83.25,106.0
202389,Center,Timofey,Mozgov,85.0,275.0,,C,,88.9,
201596,Guard,Mario,Chalmers,74.0,190.0,2008.0,G,,77.64,
101122,Forward-Guard,Danny,Granger,81.0,222.0,2005.0,F,G,85.5,103.0
2547,Forward,Chris,Bosh,83.0,235.0,2003.0,F,,87.5,109.0
2548,Guard,Dwyane,Wade,76.0,220.0,2003.0,G,,82.75,102.0
2365,,Chris,Andersen,82.0,245.0,,,,85.83,
200761,Forward,Shawne,Williams,82.0,230.0,2006.0,F,,87.0,104.0
203952,Forward,Andrew,Wiggins,79.0,197.0,2014.0,F,,82.76,
203476,Center,Gorgui,Dieng,82.0,248.0,2013.0,C,,87.5,111.5
203133,Forward,Robbie,Hummel,81.0,219.0,2012.0,F,,80.5,102.0
201168,Center-Forward,Tiago,Splitter,83.0,245.0,2007.0,C,F,86.0,109.5
201980,,Danny,Green,78.0,215.0,2009.0,,,82.0,103.0
203112,,Quincy,Acy,79.0,240.0,2012.0,,,86.75,106.5
201946,,Tyler,Hansbrough,,,2009.0,,,83.5,106.0
202335,Forward,Patrick,Patterson,80.0,235.0,2010.0,F,,85.25,107.0
201936,,Tyreke,Evans,78.0,220.0,2009.0,,,83.25,104.0
201145,Forward,Jeff,Green,80.0,235.0,2007.0,F,,85.25,103.0
203092,Forward-Center,Tyler,Zeller,83.0,250.0,2012.0,F,C,84.0,104.5
202340,Guard,Avery,Bradley,75.0,180.0,2010.0,G,,79.25,98.5
203096,,Jared,Sullinger,81.0,260.0,2012.0,,,85.25,105.5
2730,Center-Forward,Dwight,Howard,82.0,265.0,2004.0,C,F,88.5,111.5
201935,Guard,James,Harden,77.0,220.0,2009.0,G,,82.75,103.5
203089,Forward-Center,John,Henson,81.0,219.0,2012.0,F,C,89.0,112.0
201586,,Serge,Ibaka,83.0,235.0,2008.0,,,86.85,
2585,Center,Zaza,Pachulia,83.0,270.0,2003.0,C,,86.85,
202087,,Alonzo,Gee,78.0,225.0,,,,81.73,
203497,Center,Rudy,Gobert,85.0,258.0,2013.0,C,,92.5,115.0
2747,Guard,JR,Smith,78.0,220.0,2004.0,G,,82.0,104.0
2546,Forward,Carmelo,Anthony,79.0,238.0,2003.0,F,,84.0,105.5
1882,Forward,Elton,Brand,81.0,254.0,1999.0,F,,84.81,
201985,,AJ,Price,74.0,195.0,2009.0,,,75.75,97.0
2449,,Luis,Scola,81.0,241.0,2002.0,,,84.81,
202329,Forward,Al-Farouq,Aminu,80.0,220.0,2010.0,F,,87.25,108.5
202718,,Chandler,Parsons,81.0,230.0,2011.0,,,81.5,104.5
201148,,Brandan,Wright,82.0,235.0,2007.0,,,87.75,108.5
201572,Center,Brook,Lopez,85.0,282.0,2008.0,C,,89.5,113.0
203135,Center,Robert,Sacre,84.0,270.0,2012.0,C,,87.88,
203527,Forward,Ryan,Kelly,83.0,230.0,2013.0,F,,83.5,110.0
101138,Forward,Brandon,Bass,80.0,250.0,2005.0,F,,86.5,106.5
203503,Guard,Tony,Snell,78.0,213.0,2013.0,G,,83.5,105.5
2210,Forward,Richard,Jefferson,79.0,233.0,2001.0,F,,84.0,103.0
2199,Center,Tyson,Chandler,84.0,235.0,2001.0,C,,87.0,110.0
2405,Forward-Center,Amar'e,Stoudemire,82.0,245.0,2002.0,F,C,85.75,108.5
1717,Forward,Dirk,Nowitzki,84.0,245.0,1998.0,F,,87.88,
202683,,Enes,Freedom,82.0,250.0,2011.0,,,85.5,109.5
203956,Forward,Mitch,McGary,82.0,255.0,2014.0,F,,85.83,
202328,Forward-Center,Greg,Monroe,82.0,250.0,2010.0,F,C,86.25,108.5
201229,Forward,Anthony,Tolliver,80.0,240.0,,F,,86.5,107.5
202713,Forward,Kyle,Singler,80.0,228.0,2011.0,F,,82.1,106.0
203496,Forward,Robert,Covington,79.0,209.0,,F,,85.75,106.0
201971,,DeJuan,Blair,79.0,270.0,2009.0,,,86.0,106.5
202338,Forward-Center,Kevin,Seraphin,82.0,278.0,2010.0,F,C,85.83,
203078,Guard,Bradley,Beal,76.0,207.0,2012.0,G,,80.0,100.0
201163,Forward,Wilson,Chandler,80.0,235.0,2007.0,F,,83.78,
201580,Center-Forward,JaVale,McGee,84.0,270.0,2008.0,C,F,90.0,114.5
203382,Center-Forward,Aron,Baynes,82.0,260.0,,C,F,85.83,
2588,Center-Forward,Matt,Bonner,82.0,235.0,2003.0,C,F,80.75,105.5
202695,Forward,Kawhi,Leonard,79.0,225.0,2011.0,F,,87.0,106.0
2217,Center,Brendan,Haywood,84.0,263.0,2001.0,C,,90.5,113.5
